A&A	Astronomy and Astrophysics
csss	Cambridge Workshop on Cool Stars, Stellar Systems, and the Sun
CST	Combustion Science and Technology
CTBio	Current Topics in Biophysics
CTE	Ciencias de la Tierra y del Espacio
CTGeo	Contemporary Trends in Geoscience
CTM	Combustion Theory and Modelling
CTmp	Connaissance des Temps
CTMPC	Cambridge Topics in Mineral Physics and Chemistry
cub..rept	Colorado Univ. Boulder Technical Report
CuCo	Culture and Cosmos
cuni.rept	Cornell Univ. Final Report
cuny.rept	Columbia Univ. Annual Report
CVGIP	Computer Vision Graphics and Image Processing
cxo..pres	Chandra Press Release
cxo..prop	Chandra Proposal
CzJPh	Czechoslovak Journal of Physics
CzJPS	Czechoslovak Journal of Physics Supplement
CzMJ	Czechoslovak Mathematical Journal
DAOAR	Dominion Astrophysical Observatory Annual Report
DatSJ	Data Science Journal
dchn.rept	Dartmouth College, Report
DDA	AAS/Division of Dynamical Astronomy Meeting
Defek	Defektoskopiia
DefEl	Defense Electronics
DeHyZ	Deutsche Hydrographische Zeitschrift
DeScE	Defense Science Electronics
DFVLR	DFVLR
DGKBA	Deutsche Geodaetische Kommission Bayer. Akad. Wiss.
DGKBB	Deutsche Geodaetische Kommission Bayer. Akad. Wiss. B
DGKGN	Deutsche Geodaetische Kommission Gravity Network West Germany DSGN Data Adjustment
DiEne	Discover Energy
DiMat	Discover Materials
Dimen	Dimensions
DImTe	Display Imaging Technology
DIO	DIO
DiRaG	Dinamika razrezhennykh gazov
DISA	DISA Information
Disc	Discover
DISER	Disciplinary and Interdisciplinary Science Education Research
DiSis	Dinamicheskie Sistemy
Displ	Displays
DiSus	Discover Sustainability
DiWat	Discover Water
DLGRM	DLGR Magnetofluiddyn
Dlib	D-Lib Magazine
DLRNa	DLR Nachrichten
DMJ	Defense Management Journal
DnU	Differentsialnye Uravneniia
DoANT	Doklady Akademiia Nauk TadzhSSR
DoArm	Akademiia Nauk Armianskoi SSR Doklady
DoAze	Akademiia Nauk Azerbaidzhanskoi SSR Doklady
DoBan	Doklady Bolgarskoi Akademiia Nauk
DoBel	Akademiia Nauk BSSR Doklady
DOIAP	Documentation des Observateurs Institut d'Astrophysique de Paris
DokAN	Doklady Akad Nauk Minerologia USSR
DokES	Doklady Earth Sciences
DokPh	Physics - Doklady
DorPo	Dornier Post
DoSSR	Akademiia Nauk SSSR Doklady
DoTad	Akademiia Nauk Tadzhikskoi SSR Doklady
DoUkr	Akademiia Nauk Ukrains koi RSR Dopovidi Seriia Fiziko Matematichni ta Tekhnichni Nauki
DoUzb	Akademiia Nauk Uzbekskoi SSR Doklady
DPhyG	Deutsche Physikalische Gesellschaft
DPM	Dinamika i Prochnost Mashin
DPS	AAS/Division for Planetary Sciences Meeting Abstracts
DRM	Diamond and Related Materials
DSCS	Dynamics and Statistics of the Climate System
DSE	Distributed Systems Engineering
DSJ	Defense Science Journal
DSNPR	Deep Space Network Progress Report
DSO	Double Star Observer
DSP	Digital Signal Processing
DSR	Deep Sea Research
DSRA	Deep Sea Research A
DSRB	Deep Sea Research B
DSRI	Deep Sea Research Part I: Oceanographic Research
DSRII	Deep Sea Research Part II: Topical Studies in Oceanography
DSRMC	Defense Systems Review Military Communications
DSROA	Deep Sea Research and Oceanographic Abstracts
DSSC	Double Star Section Circulars
DSSN	Delta Scuti Star Newsletter
DudOR	Dudley Observatory Reports
DunOP	Dunsink Observatory Publications
DunRe	Dunsink Observatory Reprints
DWES	Drinking Water Engineering and Science
DyAtO	Dynamics of Atmospheres and Oceans
DynCo	Dynamics and Control
E&C	Electronics and Communications
E&E	Elektromashinostroenie i Elektrooborudovanie
E&ES	IOP Conference Series: Earth and Environmental Science
E&M	Elektrotechnik und Maschinenbau
E&PP	Earth and Planetary Physics
E&PSL	Earth and Planetary Science Letters
E&S	Earth in Space
E&SS	Earth and Space Science
E3SWC	E3S Web of Conferences
EAEJA	EGS - AGU - EUG Joint Assembly
EaEvS	Earth and Evolution Sciences
EaFut	Earth's Future
EaInt	Earth Interactions
EartD	eEarth Discussions
Earth	eEarth
EAS	EAS Publications Series
EaSci	Earthquake Science
EBBT	Emerging Biochemical and Biophysical Techniques
EBCi	Eclipsing Binaries Circulars
EcGH	Eclogae geologae Helvetii
EcGou	Ecole de Goutelas
ECLRv	Electrical Communication Laboratories Review
ECM	Energy Conversion Management
ECMS	Estuarine and Coastal Marine Science
ECSIn	ECS Interface Magazine
ECSMA	ECS Meeting Abstracts
ECSS	Estuarine Coastal and Shelf Science
ECSTr	ECS Transactions
ED	Etoiles Doubles
EdPJ	The Edinburgh Philosophical Journal
EEEV	Earthquake Engineering and Engineering Vibration
EEPS	Earth as an Evolving Planetary System
EERSA	East Europe Rept Sci Affairs JPRS
EERST	East European Rept Sci. Technol. JPRS ESA
EES	Environmental Earth Sciences
EET	Electrochemical Energy Technology
EExSc	Earth and Extraterrestrial Sciences
EFM	Environmental Fluid Mechanics
EGQSJ	E&G Quaternary Science Journal
EGSGA	EGS General Assembly Conference Abstracts
EGUGA	EGU General Assembly Conference Abstracts
EIUEN	ESA IUE Newsletter
EJASP	EURASIP Journal on Applied Signal Processing
EJCM	European Journal of Computational Mechanics
EJEE	European Journal of Engineering Education
EJMF	European Journal of Mechanics B Fluids
EJMin	European Journal of Mineralogy
EJMS	European Journal of Mechanics Solids
EJPh	European Journal of Physics
EJSE	European Journal of Science Education
EJSM	e-Journal of Soft Materials
EJSta	Electronic Journal of Statistics
EJTP	Electronic Journal of Theoretical Physics
EL	EPL (Europhysics Letters)
Elast	Elastic
ElBah	Elektrische Bahnen
Elecm	Electromagnetics
Elek	Elektronika
Elem	Elektromekhanika
Eleme	Elements
EleSt	Electronic Structure
ElL	Electronics Letters
ElLC	Electrotechnical Laboratory Circulars
ElMod	Elektronnoe Modelirovanie
ElP	Electronics Power
ElPro	Electronic Progress
ElTA	Elektronnaia Tekhnika Avtomatike
ElUn	El Universo
ElW	Electrowaerme International
EM&P	Earth Moon and Planets
EMCT	EMC Technology
eMetN	eMeteorNews
EML	Electronic Materials Letters
EnAt	Energia es Atomtechnika
EnC	Energy Conversion
Endvr	Endeavour
EnEng	Environmental Engineering
Energ	Energetika
ENews	Europhysics News
EnFM	Engineering Fracture Mechanics
EngAn	Engineering Analysis
EngCo	Engineering Computations
EnGeo	Environmental Geology
EnMAd	Energy Material Adances
EnMan	Environmental Management
EnOp	Engineering Optimization
EnSci	Engineering and Science
EnST	Environmental Science and Technology
EntIS	Enterprise Information Systems
EnTox	Environmental Toxicology
EnTR	Energy Technology Review
Entro	Entropie
Entrp	Entropy
EnUK	Energy
EOAST	Earth-Oriented Applications and Space Technology
EObsC	Einstein Observatory Catalog of IPC X-ray Sources
EOS	EOS
EOSD	Electro Optical Systems Design
EOSTr	EOS Transactions
EP&S	Earth, Planets and Space
EPJA	European Physical Journal A
EPJAM	EPJ Applied Metamaterials
EPJAP	European Physical Journal Applied Physics
EPJAS	European Physical Journal A Supplement
EPJB	European Physical Journal B
EPJC	European Physical Journal C
EPJCS	European Physical Journal C Supplement
EPJD	European Physical Journal D
EPJE	European Physical Journal E
EPJH	European Physical Journal H
EPJNS	EPJ Nuclear Sciences and Technologies
EPJP	European Physical Journal Plus
EPJPv	EPJ Photovoltaics
EPJQT	EPJ Quantum Technology
EPJST	European Physical Journal Special Topics
EPJWC	European Physical Journal Web of Conferences
EPRIJ	EPRI Journal
EPSC	European Planetary Science Congress
ER	Environmental Research
eRad	eRadiant, Journal of the Dutch Meteor Society
ERCom	Environmental Research Communications
ERExp	Engineering Research Express
ERIS	Environmental Research: Infrastructure and Sustainability
ERL	Environmental Research Letters
ErNW	Ergebnisse der exakten Naturwissenschaften
erp..rept	Environmental Research Papers Air Force Cambridge Research Labs
ERST	Europe Report Science Technology
ESABu	ESA Bulletin
ESAHR	ESA History Study Reports
ESAJ	ESA Journal
ESASM	ESA Scientific & Technical Memoranda
ESASP	ESA Special Publication
ESASR	ESA Scientific Report
ESAST	ESA Scientific Technical Review
ESATM	ESA Training Manual
ESC	ACS Earth and Space Chemistry
EScIn	Earth Science Informatics
ESD	Earth System Dynamics
ESDD	Earth System Dynamics Discussion
ESE	Earth Systems and Environment
ESF	Earth Science Frontiers
ESIL	Eruptive Stars Information Letter
ESN	European Science Notes
eso..pres	European Southern Observatory Press Release
eso..rept	European Southern Observatory Report
ESOB	European Southern Observatory ESO Bulletin
ESOC	European Southern Observatory Conference and Workshop Proceedings
ESOSP	European Southern Observatory Scientific Preprints
ESOSR	European Southern Observatory Scientific Report
ESPL	Earth Surface Processes and Landforms
ESPM	European Solar Physics Meeting
esrb.rept	European Sounding Rocket, Balloon and Related Research with Emphasis on Experiments at High Latitudes
ESRv	Earth Science Reviews
ESS	AAS/Division for Extreme Solar Systems Abstracts
ESSD	Earth System Science Data
ESSDD	Earth System Science Data Discussions
ESSFR	IEICE ESS Fundamentals Review
EssPh	Essays in Physics
ESuD	Earth Surface Dynamics
ESuDD	Earth Surface Dynamics Discussions
ETATF	Eesti NSV Teaduste Akadeemia Toimetised Fuusika Matemaatika
ETRE	Elektrosviaz Telecommunications Radio Engineering Telecommunications
ETTRT	European Transactions Telecommunications Related Technologies
ETWQ	Environmental Toxicology and Water Quality
EUCAS	EUCASS Proceedings Series
EURPE	EUREKA: Physics and Engineering
EurSS	Eurasian Soil Science
EuRv	European Review
euve.prop	EUVE Proposal
EVest	Elektrotehniski Vestnik
ExA	Experimental Astronomy
ExFl	Experiments in Fluids
ExG	Exploration Geophysics
ExHT	Experimental Heat Transfer
ExM	Experimental Mechanics
EXOSA	EXOSAT Express
ExT	Experimental Techniques
ExTFS	Experimental Thermal Fluid Science
Extr	Extraction
F&CRe	Flower and Cook Observatory Reprints
F&I	Forschung im Ingenieurwesen
F&IER	Forschung im Ingenieurwesen Engineering Research
F&M	Feinwerktechnik und Messtechnik
FACM	Functiones et Approximatio Commentarii Mathematici
FaDi	Faraday Discussions
FaTr	Faraday Transactions
FBS	Few-Body Systems
FCPh	Fundamentals of Cosmic Physics
FCS	Functional Composites and Structures
FFEMS	Fatigue and Fracture of Engineering Materials and Structures
FiIO	Fiber and Integrated Optics
FiMek	Fizicheskaia Mekhanika
FiMos	Akademiia Nauk SSSR Otdelenie Obshchei Fiziki i Astronomii Nauchnaia Sessiia Moscow USSR Uspekhi Fizicheskikh Nauk
FiSSR	Akademiia Nauk Tadzhikskoi SSR Fiziko Tekhnicheskii Institut Dyushambe Tadzhik SSR Akademiia Nauk Tadzhikskoi SSR Doklady
FiUkr	Akademiia Nauk Ukrain skoi RSR Dopovidi Seriia Fiziko Matematichni ta Tekhnichni Nauki
Fiz	Fizika
FizA	Fizika A
FizAO	Akademiia Nauk SSSR Fizika Atmosfery i Okeana
FizAS	Fizika Aerodispersnykh Sistem
FizB	Fizika B
FizCh	Fizyki i Chemii Seria Fizyka
FizEl	Fizicheskaia Elektronika
FizGV	Fizika Goreniia i Vzryva
FizKM	Fiziko Khimicheskaia Mekhanika Materialov
FizKO	Fizika i Khimiia Obrabotki Materialov
FizMM	Fizika Metallov i Metallovedenie
FizMS	Fizika Mnogochastichnykh Sistem
FizNT	Fizika Nizkikh Temperatur
FizPl	Fizika Plazmy
FizSz	Fizika Sz.
FizTT	Fizika Tverdogo Tela
FizTV	Fizika i Tekhnika Vysokikh Davlenii
FizZS	Fizika Zhidkogo Sostoianiia
FlDy	Fluid Dynamics
FlDyR	Fluid Dynamics Research
FlDyT	Fluid Dynamics Transactions
FlMSR	Fluid Mechanics Soviet Research
Fluid	Fluidika
FluQ	Fluids Quarterly
FMEC	Frontiers of Mechanical Engineering in China
FML	Functional Materials Letters
FNCN	Fullerene Nanotubes and Carbon Nanostructures
FNL	Fluctuation and Noise Letters
FoGeo	Fotointerpretacja w Geografii
FoPh	Foundations of Physics
FoPhL	Foundations of Physics Letters
ForPh	Fortschritte der Physik
ForPW	Fortschritte der Physikalischen Wissenschaften
Fract	Fractals
FrASS	Frontiers in Astronomy and Space Sciences
FrCh	Frontiers in Chemistry
FrEaS	Frontiers in Earth Science
Freq	Frequenz
FrES	Frontiers of Earth Science
FRFI	Flug Revue Flugwelt International
FrInJ	Journal of The Franklin Institute
FrMat	Frontiers in Materials
FrME	Frontiers of Mechanical Engineering
FrMS	Frontiers of Materials Science
FrP	Frontiers in Physics
FrPhC	Frontiers of Physics in China
FrPhy	Frontiers of Physics
FrST	Frontiers in Space Technologies
FST	Fullerene Science and Technology
FSTJ	Fujitsu Scientific Technical Journal
FTC	Flow, Turbulence and Combustion
FTP	Fundamental Theories of Physics
fuse.prop	FUSE Proposal
Fut	Futures
Futur	Future Spring
GAe	Geomagnetizm i Aeronomiia
Gaea	Gaea - Journal of Geoscience
Galax	Galaxies
GalEl	Galilean Electrodynamics
galx.prop	GALEX Proposal
GAM	Geophysics and Astrophysics Monographs
GaMuM	Gesellschaft Angewandte Mathematik und Mechanik Workshop Paris France
GApFD	Geophysical and Astrophysical Fluid Dynamics
GAst	Giornale di Astronomia
GATAN	Gesellschaft Aerosolforschung Tagung ueber Aerosole Naturwissenschaft Medizin und Technik Messtechnik und technische Anwendung
GazA	Gazette Astronomique
GazAM	Gazette Astronomique Memoires
GazT	Gazodinamika i Teploobmen
GBioC	Global Biogeochemical Cycles
GBzG	Gerlands Beitraege zur Geophysik
GCarp	Geologica Carpathica
GCBio	Global Change Biology
GCN	GRB Coordinates Network
GCN1	GRB Coordinates Network
GCN2	GRB Coordinates Network
GCNew	Galactic Center Newsletter
GCNR	GCN Report
GCRV	Carnegie Institute Washington D.C. Publication
GDS	Geophysical Developments Series
Ge&Ae	Geomagnetism and Aeronomy
GeAer	Geodeziia i Aerofotos
GeCar	Geodesy and Cartography
GeCAS	Geochimica et Cosmochimica Acta Supplement
GeChr	Geochronology
GECJR	GEC Journal Research
GeCoA	Geochimica et Cosmochimica Acta
GEE	Geomatics and Environmental Engineering
GeGe	Geophysica et Geodaetica
GeIss	Geoinformation Issues
GeKaA	Geodeziia Kartografiia i Aerofotos
GeKar	Geodeziia i Kartografiia
Gelio	Geliotekhnika
Gemin	GEMINI Newsletter Royal Greenwich Observatory
Gen1K	Observatoire de Geneve
Geo	Geology
GeoAc	Geodinamica Acta
GEOCA	GEOS Circular on Small-Amplitude Variables
GEOCE	GEOS Circular on Eclipsing Binaries
Geoch	Geochemistry
GeocI	Geochemistry International
GeocJ	Geochemical Journal
GEOCR	GEOS Circular on RR Lyr Type Variables
GEOCS	GEOS Semi-Regular Variables
Geode	Geoderma
GeofI	Geofisica Internacional
GeoGl	Geodetski Glasnik
GeoIn	Geocarto International
GeoIs	Geomagnitnye Issledovaniia
GeoJ	Geophysical Journal
GeoJI	Geophysical Journal International
GeoK	Geodezja i Kartografia
Geokh	Geokhimiia
Geolg	Geologos
Geolo	Geologija
GeoM	Geological Magazine
Geoma	Geomatik
Geomo	Geomorphology
GeoNr	Geophysica Norvegica
GeoOD	Geology of Ore Deposits
Geop	Geophysics
GeoPA	Geofisica Pura e Applicata
Geoph	Geophysica
GeopP	Geophysical Prospecting
GeoRL	Geophysical Research Letters
GeoRu	Geologische Rundschau
GeoRv	Geographical Review
GeoSb	Geofizicheskii Sbornik
Geosc	Geosciences
GeoSJ	Geological Society Journal
GEOSN	GEOS Note Circulaire
Geosp	Geosphere
GeosR	Geoscience Records
GeoSu	Geophysical Surveys
Geot	Geotimes
Geote	Geotectonics
Geoth	Geothermics
GeoZh	Geofizicheskii Zhurnal
Gerb	Gerbertvs, International Academic Publication on History of Medieval Science
GescJ	Geosciences Journal
GGG	Geochemistry, Geophysics, Geosystems
GGMit	Gauss-Gesellschaft e.V. G&ouml;ttingen, Mitteilungen
GGMM	Greenhouse Gas Measurement & Management
GI	Geoscientific Instrumentation, Methods and Data Systems
GID	Geoscientific Instrumentation, Methods and Data Systems Discussions
Gidro	Gidromekhanika
GiGi	Gidroprivod i Gidropnevmoavtomatika
GIPol	Geoinformatica Polonica
GiSan	Gigiena i Sanitariia
gita.rept	Georgia Institute of Technology Final Report
GKA	Geodeziia i Kartografiia Aehrofotosemka, L'vov
GMD	Geoscientific Model Development
gmd..rept	Greenbelt, Md. Workshop
GMDD	Geoscientific Model Development Discussions
GML	Geo-Marine Letters
GMMWJ	Gesellschaft angewandte Mathematik und Mechanik Jahrestagung Goettingen West Germany Zeitschrift Flugwissenschaften
GMS	Geophysical Monograph Series
gmu..rept	George Mason Univ. Technical Report
GMuD	Gesellschaft Mathematik und Datenverarbeitung mbH Multigrid Methods Special Topics Applications
GOAM	Greenwich Observations in Astronomy, Magnetism and Meteorology made at the Royal Observatory, Series 3
GOAMM	Greenwich Observations in Astronomy, Magnetism and Meteorology made at the Royal Observatory, Series 2
GondR	Gondwana Research
GORO	Greenwich Observations made at the Royal Observatory
GPC	Global and Planetary Change
GPSW	GPS World
gr.qc	arXiv General Relativity and Quantum Cosmology e-prints
GrAeH	Grumman Aerospace Horizons
GrCo	Gravitation and Cosmology
GReGr	General Relativity and Gravitation
GriO	Griffith Observer
GrTOn	Gravitatsiia i Teoriia Otnositelnosti
Grund	Grundwasser
GSAB	Geological Society of America Bulletin
GSAMm	Geological Society of America Memoir
GSASP	Geological Society of America Special Papers
GSDJ	Geoscience Data Journal
GSEng	GeoScience Engineering
GSL	Geoscience Letters
GSLSP	Geological Society of London Special Publications
GSR	Gravitational and Space Research
GTES	Geothermal Energy Science
GTPZ	Gigiena Truda i Professionalnye Zabolevaniia
gtr..rept	Greenwich Time Report
GUL	Geschichte und Lichtwechsel der Veraenderlichen Sterne (Potsdam)
GVMK	Gibridnye Vychislitelnye Mashiny i Kompleksy
HAAG	Handbook of Astronomy Astrophysics and Geophysics
HAD	AAS/Historical Astronomy Division
HadJ	Hadronic Journal
HadJS	Hadronic Journal Supplement
HamS	Hamburger Sternwarte Sonderdrucke
HarAC	Harvard College Observatory Announcement Card
HarAR	Harvard College Observatory Annual Report
HarCi	Harvard College Observatory Circular
HarMo	Harvard Observatory Monographs
HarOR	Report of the Committee of the Overseers of Harvard College appointed to visit the Observatory
HarRe	Harvard College Observatory Reprints
HARSB	Histoire de l'Academie Royale des Sciences et des Belles-Lettres de Berlin
HarZi	Harthaer Beobachtungs-Zirkular
hawi.rept	Hawaii University Technical Report
HCHy	Hovering Craft and Hydrofoil
HDA	Handbuch der Astrophysik
HDP	Handbuch der Physik
HDSTS	Herald of Dagestan State Technical University Technical Sciences
HEAD	AAS/High Energy Astrophysics Division
HeaPh	Health Physics
Heavn	Heavens
HEDP	High Energy Density Physics
Helio	Helios
HelOB	Helwan Institute of Astronomy and Geophysics Bulletins
HelR	Observatory and Astrophysics Laboratory University of Helsinki Report
HelRe	Heliogeophysical Research
HemD	Hemel en Dampkring
hep.ex	arXiv High Energy Physics - Experiment e-prints
hep.lat	arXiv High Energy Physics - Lattice e-prints
hep.ph	arXiv High Energy Physics - Phenomenology e-prints
hep.th	arXiv High Energy Physics - Theory e-prints
HEPNP	High Energy Physics and Nuclear Physics
HESS	Hydrology and Earth System Sciences
HESSD	Hydrology and Earth System Sciences Discussions
HFC	Hydrogen and Fuel Cells
HGSS	History of Geo- and Space Sciences
HiA	Highlights of Astronomy
HisSc	History of Science
HiTec	High Technology
HMR	Helgoland Marine Research
HMT	Heat and Mass Transfer
Holoc	The Holocene
HPCRE	Handbook on the Physics and Chemistry of Rare Earths
HPR	High Pressure Research
HRL	Hydrological Research Letters
hst..prop	HST Proposal
hstx.rept	Hughes STX, Inc. Technical Report
HTemS	High Temperature Science
HTHP	High Temperatures and High Pressures
HTJR	Heat Transfer Japanese Research
HTMP	High Temperature Materials and Processes
HTrEn	Heat Transfer Engineering
HTSR	Heat Transfer Soviet Research
HUFEB	Hokkaido University Faculty Engineering Bulletin
HUFEM	Hokkaido University Faculty Engineering Memoirs
huha.rept	Hawaii Univ., Honolulu Report
hutx.rept	Workshop held in Houston, TX
HvaOB	Hvar Observatory Bulletin
HvOBS	Hvar Observatory Bulletin Supplement
HWM	Helgol&auml;nder Wissenschaftliche Meeresuntersuchungen
HWP	Horizons in World Physics
HyBio	Hydrobiologia
HydJ	Hydrogeology Journal
HyInt	Hyperfine Interactions
HyPr	Hydrological Processes
IA&A	Ingenieria Aeronautica y Astronautica
iac..talk	IAC Talks, Astronomy and Astrophysics Seminars from the Instituto de Astrof&iacute;sica de Canarias
IadEn	Iadernaia Energiia
IAESM	IEEE Aerospace Electronic Systems Magazine
IAFET	Instituto de Astronomia y Fisica del Espacio Buenos Aires
IAIss	Istoriko-Astronomicheskie Issledovaniya
IAL1K	Institut d'Astronomie de Lausanne
IAM	International Applied Mechanics
IANT	International Advances in Nondestructive Testing
IAOIT	Informo of the Astronomia-Optika Institucio, Universitato de Turku
IAPM	IEEE Antennas and Propagation Magazine
IAPPP	International Amateur-Professional Photoelectric Photometry Communications
IASSP	IEEE ASSP Magazine
IAUC	International Astronomical Union Circular
IAUCB	IAU Commission on Close Binary Stars
IAUCo	IAU Colloquia
IAUDS	IAU Commission on Double Stars
IAUFM	IAU Focus Meeting
IAUGA	IAU General Assembly
IAUIB	IAU Information Bulletin
IAUIn	IAU Commission on Instruments
IAUJD	IAU Joint Discussion
IAUS	IAU Symposium
IAUSS	IAU Special Session
IAUTA	Transactions of the International Astronomical Union, Series A
IAUTB	Transactions of the International Astronomical Union, Series B
IAWPL	IEEE Antennas and Wireless Propagation Letters
IBCP	An International Journal at the Interface Between Chemistry and Physics
IBMJ	IBM Journal of Research and Development
IBSAE	Sovetskaia Antarkticheskaia Ekspeditsiia Informatsionnyi Byulleten
IBSH	Informational Bulletin of the Southern Hemisphere
IBUAA	Informational Bulletin of the Ukrainian Astronomical Association
IBVS	Information Bulletin on Variable Stars
ICAOB	ICAO Bulletin
Icar	Icarus
ICGA	IEEE Computer Graphics Applications
ICHIN	Newsletters of the Interdivisional Commission on History of the IAGA
ICHMT	International Communications in Heat and Mass Transfer
ICiSM	IEEE Circuits Systems Magazine
ICML	International Conference on Machine Learning
IComM	IEEE Communications Magazine
ICQ	International Comet Quarterly
ICRC	International Cosmic Ray Conference
ICSE	Impact of Computing in Science and Engineering
ICSEn	IEEE Computational Science and Engineering
ICSM	IEEE Computer Systems Magazine
ICTP	International Center for Theoretical Physics
ictp.rept	International Centre for Theoretical Physics Technical Report
IDAQP	Infinite Dimensional Analysis, Quantum Probability and Related Topics
IDTC	IEEE Design Test Computers
IEDL	IEEE Electron Device Letters
IEEEN	IEEE Network
IEEEP	IEEE Proceedings
IEEES	IEEE Spectrum
IEEP	Institution of Electrical Engineers Proceedings
IEERv	IEE Reviews
IEITC	IEICE Transactions on Communications
IEITE	IEICE Transactions on Electronics
IEITF	IEICE Transactions on Fundamentals of Electronics Communications and Computer Sciences
IEITI	IEICE Transactions on Information and Systems
IER	Internationale Elektronische Rundschau
IEREJ	Institution of Electronic Radio Engineers Journal
IESJ	IES Journal
IET	Instruments and Experimental Techniques
IETE	Institution of Electronics Telecommunication Engineers
IEWS	Stevenage Herts England Peter Peregrinus Ltd IEE Electromagnetic Waves Series
IExp	IEEE Expert
IFBel	Akademiia Nauk Belorusskoi SSR Institut Fiziki Nauchnaia Sessiia Minsk Belorussian SSR Zhurnal Prikladnoi Spektroskopii
IGAFS	Issledovaniia Geomagnetizmu Aeronomii i Fizike Solntsa
IGRSL	IEEE Geoscience and Remote Sensing Letters
IGRv	International Geology Review
IGS	Orlando FL Academic Press Inc International Geophysics Series
IHERv	Ishikawajima Harima Engineering Review
IHWN	IHW Newsletter
IIApN	Indian Institute of Astrophysics Newsletter
IINA	Istituto Italiano di Navigazione Atti
IISys	IEEE Intelligent Systems
IJA	International Journal of Astronomy
IJAA	International Journal of Astronomy and Astrophysics
IJACS	International Journal of Adaptive Control and Signal Processing
IJAdA	International Journal of Adhesion Adhesives
IJAEM	International Journal of Analytical and Experimental Modal Analysis
IJAEO	International Journal of Applied Earth Observation and Geoinformation
IJAIS	International Journal of Applied Information Systems
IJAM	International Journal of Applied Mechanics
IJAME	International Journal of Applied Mechanics and Engineering
IJAP	IOSR Journal of Applied Physics
IJART	International Journal of Advancements in Research and Technology
IJAsB	International Journal of Astrobiology
IJASE	International Journal of Advanced Structural Engineering
IJASS	International Journal of Aeronautical and Space Sciences
IJBB	International Journal of Bioclimatology Biometeorology
IJBC	International Journal of Bifurcation and Chaos
IJBm	International Journal of Biometeorology
IJC	International Journal of Control
IJCA	International Journal of Computer Applications
IJCAT	International Journal of Computer Applications and Technology
IJCEM	International Journal for Computational Methods in Engineering Science and Mechanics
IJCFD	International Journal of Computational Fluid Dynamics
IJCli	International Journal of Climatology
IJCMB	International Journal of Computer Mathematics Section B
IJCMS	International Journal of Computational Materials Science and Engineering
IJDE	International Journal of Digital Earth
IJDM	International Journal of Damage Mechanics
IJE	International Journal of Electronics
IJEaS	International Journal of Earth Sciences
IJEEP	International Journal of Emerging Electric Power Systems
IJEFM	International Journal of Engineering and Fluid Mechanics Spring
IJEG	International Journal of Engineering and Geosciences
IJEnR	International Journal of Environmental Research
IJER	International Journal of Energy Research
IJERA	International Journal of Enginnering Research and Applications
IJES	International Journal of Engineering Science
IJESS	IEEE Journal on Exploratory Solid-State Computational Devices and Circuits
IJEST	IEEE Journal on Emerging and Selected Topics in Circuits and Systems
IJExM	International Journal of Extreme Manufacturing
IJFa	International Journal of Fatigue
IJFD	International Journal of Fluid Dynamics
IJFE	International Journal of Fusion Energy
IJFr	International Journal of Fracture
IJG	International Journal of Geosciences
IJGA	International Journal of Geomagnetism and Aeronomy
IJGeo	International Journal of Geophysics
IJGI	ISPRS International Journal of Geo-Information
IJGMM	International Journal of Geometric Methods in Modern Physics
IJGNP	International Journal of Green Nanotechnology Physics and Chemistry
IJGS	International Journal of General Systems
IJHE	International Journal of Hydrogen Energy
IJHFF	International Journal of Heat and Fluid Flow
IJHM	International Journal of Hybrid Microelectronics Fall
IJHMT	International Journal of Heat and Mass Transfer
IJIDF	International Journal of Image and Data Fusion
IJIE	International Journal of Impact Engineering
IJIMW	International Journal of Infrared and Millimeter Waves
IJIST	International Journal of Imaging Systems Technology
IJMES	International Journal of Mathematical Education in Science and Technology
IJMF	International Journal of Multiphase Flow
IJMHG	Indian Journal of Meteorology Hydrology and Geophysics
IJMIP	International Journal of Mass Spectrometry and Ion Physics
IJMM	International Journal of Mini Microcomputers
IJMMC	IEEE Journal on Multiscale and Multiphysics Computational Techniques
IJMMD	International Journal of Mechanics and Materials in Design
IJMMM	International Journal of Minerals, Metallurgy, and Materials
IJMoS	International Journal of Modelling and Simulation
IJMPA	International Journal of Modern Physics A
IJMPB	International Journal of Modern Physics B
IJMPC	International Journal of Modern Physics C
IJMPD	International Journal of Modern Physics D
IJMPE	International Journal of Modern Physics E
IJMPS	International Journal of Modern Physics Conference Series
IJMQE	International Journal of Metrology and Quality Engineering
IJMS	International Journal of Mechanical Sciences
IJMSE	International Journal of Mars Science and Exploration
IJMSI	International Journal of Mass Spectrometry and Ion Processes
IJMSp	International Journal of Mass Spectrometry
IJMW	International Journal of Mine Water
IJN	International Journal of Nanoscience
IJNA	IMA Journal of Numerical Analysis
IJNAM	International Journal for Numerical and Analytical Methods in Geomechanics
IJNAO	International Journal of Naval Architecture and Ocean Engineering
IJNLM	International Journal of Non Linear Mechanics
IJNME	International Journal for Numerical Methods in Engineering
IJNMF	International Journal for Numerical Methods in Fluids
IJNS	International Journal of Neural Systems
IJNT	International Journal of Nanotechnology
IJO	International Journal of Optomechatronics
IJOE	IEEE Journal of Oceanic Engineering
IJOpt	International Journal of Optics
IJP	International Journal of Plasticity
IJPAM	Indian Journal of Pure and Applied Mathematics
IJPAP	Indian Journal of Pure and Applied Physics
IJPRS	International Journal of Photogrammetry and Remote Sensing
IJQC	International Journal of Quantum Chemistry
